"Facebook Connect","Facebook Connect"
"Enable Extension","Enable Extension"
"Application ID","Application ID"
"Application Secret","Application Secret"
"Title","Title"
"The title of the button.","The title of the button."
"Login via Facebook","Login via Facebook"
"Order status to post order details to Facebook Wall","Order status to post order details to Facebook Wall"
"Indicate at what order status order details should be posted to user's Facebook wall.","Indicate at what order status order details should be posted to user's Facebook wall."
"Cannot create the customer.","Cannot create the customer."
"Purchased items","Purchased items"
"I've just purchased %1$d item(s) at %2$s - %3$s.","I've just purchased %1$d item(s) at %2$s - %3$s."
"View <i><b>%1$s</b></i> for %2$s - %3$s.","View <i><b>%1$s</b></i> for %2$s - %3$s."
"Facebook Wall","Facebook Pinwand"
"Post order details to Facebook Wall","Deine Bestellungen auf Deiner Facebook Pinwand veröffentlichen und an unserem Partnerprogramm teilnehmen. Du erhältst für jeden Kauf der über Deine Empfehlung von einem Deine Freunde getätigt wird von uns eine Belohnung"
"Customer My Account Facebook Wall Post","Customer My Account Facebook Wall Post"
"Facebook Connect Form Before","Facebook Connect Form Before"
"The parameter has been saved.","The parameter has been saved."
"The parameter has been removed.","The parameter has been removed."
"An error occurred while saving your parameter.","An error occurred while saving your parameter."
"Facebook ""Sign Up"" Options","Facebook ""Sign Up"" Options"
"Enable Facebook Wall ""Sing Up"" Message","Enable Facebook Wall ""Sing Up"" Message"
"Image URL","Image URL"
"Image URL. Ex.: http://magentoshopurl.com/images/signupimage.jpg","Image URL. Ex.: http://magentoshopurl.com/images/signupimage.jpg"
"Message Name","Message Name"
"Message Text","Message Text"
"Message Description","Message Description"
"Content Options","Content Options"
"Display on Checkout Page","Display on Checkout Page"
"Display on Login Page","Display on Login Page"
"Display Custom Buttons","Display Custom Buttons"
"Display Widget Buttons","Display Widget Buttons"
"Size","Size"
"small","small"
"medium","medium"
"large","large"
"xlarge","xlarge"
"icon","icon"
"Show Faces","Show Faces"
"Specifies whether to show faces underneath the Login button.","Specifies whether to show faces underneath the Login button."
"Max Rows","Max Rows"
"The maximum number of rows of profile pictures to display.","The maximum number of rows of profile pictures to display."
"Facebook Connect Button","Facebook Connect Button"
"Frontend Template","Frontend Template"
"Create New Account Options","Create New Account Options"
"Welcome Email","Welcome Email"
"Email Sender","Email Sender"
"Enable Notifications","Enable Notifications"
"Default Template from Locale","Default Template from Locale"
"Facebook new account","Facebook new account"
"Cannot login via Faceebook!","Cannot login via Faceebook!"
"Problem with login via Facebook!","Problem with login via Facebook!"
"Sign in with Facebook","Sign in with Facebook"
You should choose only one language for all Mageplace Facebook Extensions,You should choose only one language for all Mageplace Facebook Extensions
