"Account number","Numéro de compte"
"Bank code","Code de banque"
"Holder","Titulaire du compte"
"Amount","Montant"
"Transaction Id: %s","ID de transaction: %s"
"Order No.: ","Numé. "
"Payment was successful.","Commande avec sofortbanking transmis avec succès. Votre ID de %s: %s"
"Payment successfull. Invoice needs to be confirmed.", "Commande avec Kauf auf Rechnung transmise avec succès. Confirmation par le commerçant n'a pas encore eu lieu. Votre ID de transaction: %s"
"Payment was not successfull","Un erreur s'est produite pendant la commande."
"Sofortueberweisung payment loaded.","sofortüberweisung sélectionné comme mode de paiement. Transaction pas conclue."
"Vorkasse by sofort payment loaded.","Paiement d'avance sélectionné comme mode de paiement. Transaction pas conclue."
"sofortlastschrift payment loaded.","sofortlastschrift sélectionné comme mode de paiement. Transaction non conclue."
"Lastschrift by sofort payment loaded.","Prélèvement automatique sélectionné comme mode de paiement. Transaction pas conclue."
"Rechnung by sofort payment loaded.","Kauf auf Rechnung sélectionné comme mode de paiement. Transaction pas conclue."
"Please fill out the account holder","Veuillez remplir les champs numéro de compte, code de banque et titulaire de compte."
"Please fill out the account number","Veuillez remplir les champs numéro de compte, code de banque et titulaire de compte."
"Please fill out the bank code","Veuillez remplir les champs numéro de compte, code de banque et titulaire de compte."
"Cancelation of payment","Le mode de paiement sélectionné n'est malheureusement pas possible ou a été annulé à la demande du client. Vous êtes prié de sélectionner un autre mode de paiement."
"Project password","Mot de passe du projet"
"Notification password", "Mot de passe de notification"
"Create Invoice","Générer facture après paiement"
"Projekt Id","Numéro projet"
"User Id","Numéro client"
"Sofortueberweisung","sofortbanking"
"customer protection","sofortbanking avec protection du consommateur"
"Direct payment method of Payment Network AG.","sofortbanking est le service de paiement gratuit, certifié TÜV de Payment Network AG."
"Rechnung by sofort","Rechnung by sofort"
"Rechnung","Kauf auf Rechnung"
"Invoice with payment guarantee.","Kauf auf Rechnung avec garantie de paiement."
"sofortlastschrift","sofortlastschrift"
"Secure direct debit system.","Le prélèvement sécurisé de Payement Network AG."
"Vorkasse by sofort","Vorkasse by sofort"
"Vorkasse","Paiement d'avance"
"Automated money order system.","Paiement d'avance avec rapprochement (bancaire) des paiements automatisé."
"Lastschrift by sofort","Lastschrift (prélèvement automatique) by sofort"
"Lastschrift","Prélèvement bancaire (prélèvement automatique)"
"Lastschriftverfahren","Prélèvement automatisé de Payment Network AG."
"sofortueberweisung and other sofort-products","sofortbanking et autres produits sofort"
"More","plus d'informations"
"Error while saving this configuration: ","Erreur lors de l'enregistrement.: "
"Item was successfully saved","sauvegardé avec succès"
"Your benefit:","Vos avantages:"
"Certified payment method","<ul><li>Système de paiement avec protection des données certifiée TÜV</li><li>Pas d'enregistrement</li><li>Marchandise/service sera envoyé si disponible IMMÉDIATEMENT</li><li>Veuillez tenir à disposition vos données de banque en ligne (code PIN/TAN)</li></ul>"
"Certified payment method, direct debit","<ul><li>Système de paiement avec protection des données certifiée TÜV</li><li>Pas d'enregistrement</li><li>Marchandise/service peut être envoyé IMMÉDIATEMENT</li><li>Veuillez tenir à disposition votre code PIN de banque en ligne</li></ul>"
"Help","Aide"
"Learn More","plus d'informations"
"Sort order","Ordre d'affichage"
"New order status","Confirmer état de commande"
"Enabled","Module activé"
"Title","Bezeichnung"
"Payment from applicable countries","Restreindre pays"
"Payment from Specific countries","Restreindre pays"
"Money received.","Réception du paiement." 
"Customer returned payment","Un remboursement existe pour cette transaction.  "
"Please pay to the following account","Veuillez utiliser les données de virement suivantes"
"Reason","Référence"
"Reason 2","Référence 2"
"Please confirm our privacy policy.","Veuillez accepter la politique de confidentialité."
"The invoice has been canceled.","La facture a été annulé. Crédit créé."
"Configuration key","Clé de configuration"
"Successfully confirmed invoice: %s","%s"
"Successfully canceled invoice: %s","La facture a été annulée %s"
"Successfully canceled invoice. Credit memo created: %s","La facture a été annulé. Crédit créé. %s"
"Banner or text","Bannière ou texte dans la sélection des options de paiement"
"All products deactivated due to errors, initiation aborted.", ""
"Must not be empty.", "Les données sont incomplètes ou erronées. Vous êtes prié de les corriger ou de contacter le gérant de la boutique en ligne."
"Not in list of valid values.", "Pas dans la portée des valeurs valides."
"Must be a positive number.", "La valeur doit être positive."
"Unsupported currency.", "En ce moment uniquement des commandes en Euro sont possibles. Veuillez corriger cela et essayer ensuite de nouveau."
"Amount is out of range.", "Le total est trop élevé ou trop bas. Veuillez corriger cela ou contacter le gérant de la boutique en ligne."
"Invalid characters.", "Caractères inconnus."
"Maximum length of 27 characters exceeded.", "Nombre maximal de caractères dépassé (max. 27)."
"Invalid email address.", "La commande ne peut pas être effectuée en raison d'une adresse e-mail erronée. Veuillez corriger celle-ci et essayer de nouveau ensuite."
"Invalid phone number.", "La commande ne peut pas être effectué en raison d'un numéro de téléphone erroné. Veuillez corriger cela et essayer de nouveau ensuite."
"Invalid country code.", "Le code du pays n'est pas supporté, vous êtes prié de contacter votre commerçant."
"Unsupported country code.", "Le BIC indiqué n'est pas valable."
"Invalid BIC.", "La commande ne peut pas être effectué en raison d'un BIC (Bank Identifier Code) erroné. Veuillez corriger cela et essayer de nouveau ensuite."
"Only German addresses (DE) are supported.", "La commande ne peut pas être effectuée en raison d'un code pays erroné. L'adresse de livraison/facturation doit être en Allemagne. Veuillez corriger cela et essayer de nouveau ensuite."
"Product only supports German sender accounts.", "Seulement les comptes bancaires allemands sont compatibles. Veuillez corriger cela ou sélectionner un autre mode de paiement."
"Invoice amount exceeds amount limit in factoring contract.", "Le total est trop élevé. Veuillez corriger cela et essayer de nouveau ensuite."
"Invoice amount is lower than minimum amount defined in project settings.", "Le total est trop bas. Veuillez corriger cela et essayer de nouveau ensuite."
"Invalid tax, allowed values are: 7, 19.", "Valeur pour la TVA n'est pas correcte. Valeurs valables sont: 7,19."
"Validation of given bank account and bank code failed.", "La validation du compte bancaire et du code de banque a échouée."
