"Account number","Numero di conto"
"Bank code","Bankleitzahl"
"Holder","Intestatario del conto"
"Amount","Importo"
"Transaction Id: %s","Transaktions-ID: %s"
"Order No.: ","Nume. "
"Payment was successful.","Bestellung mit sofortüberweisung erfolgreich übermittelt. Ihre Transaktions-ID: %s"
"Payment successfull. Invoice needs to be confirmed.", "Bestellung mit Kauf auf Rechnung erfolgreich übermittelt. Bestätigung durch Händler noch nicht erfolgt. Ihre Transaktions-ID: %s"
"Payment was not successfull","Fehler bei der Bestellung aufgetreten."
"Sofortueberweisung payment loaded.","sofortüberweisung als Zahlungsart gewählt. Transaktion nicht abgeschlossen."
"Vorkasse by sofort payment loaded.","Vorkasse als Zahlungsart gewählt. Transaktion nicht abgeschlossen."
"sofortlastschrift payment loaded.","sofortlastschrift selezionato come metodo di pagamento. Transazione non conclusa."
"Lastschrift by sofort payment loaded.","Addebito by sofort selezionato come metodo di pagamento. Transazione non conclusa."
"Rechnung by sofort payment loaded.","Acquisto su fattura selezionato come metodo di pagamento. Transazione non conclusa."
"Please fill out the account holder","Bitte füllen Sie die Felder Kontonummer, Bankleitzahl und Kontoinhaber vollständig aus."
"Please fill out the account number","Bitte füllen Sie die Felder Kontonummer, Bankleitzahl und Kontoinhaber vollständig aus."
"Please fill out the bank code","Bitte füllen Sie die Felder Kontonummer, Bankleitzahl und Kontoinhaber vollständig aus."
"Cancelation of payment","Die gewählte Zahlart ist leider nicht möglich oder wurde auf Kundenwunsch abgebrochen. Bitte wählen Sie eine andere Zahlweise."
"Project password","Password di progetto"
"Notification password", "Password di notifica"
"Create Invoice","Generiere Rechnung nach Zahlung"
"Projekt Id","ID progetto"
"User Id","ID cliente"
"Sofortueberweisung","sofortbanking"
"customer protection","sofortbanking con protezione dell'acquirente"
"Direct payment method of Payment Network AG.","<b>sofortüberweisung</b><br />Sobald der Kunde diese Zahlungsart ausgewählt hat und auf Bestellen klickt, wird eine temporäre Bestellung angelegt und der temporäre Bestellstatus gesetzt. Ist die Zahlung erfolgreich, wird die Bestellung fest in die Datenbank eingetragen und der bestätigte Bestellstatus gesetzt. Bei Abbruch wird die Bestellung rückgängig gemacht und die Bestellnummer verworfen, so dass bei der nächsten Bestellung die Bestellnummer um eins erhöht wird. Sollte der Kunde das Bezahlfenster schließen, so bleibt die temporäre Bestellung erhalten, wobei die Bezahlung dann nicht erfolgt ist."
"Rechnung by sofort","Rechnung by sofort"
"Rechnung","Kauf auf Rechnung"
"Invoice with payment guarantee.","<b>Rechnung by sofort</b><br />Sobald der Kunde diese Zahlungsart ausgewählt hat und auf Bestellen klickt, wird eine temporäre Bestellung angelegt und der temporäre Bestellstatus gesetzt. Ist die Zahlung erfolgreich, wird die Bestellung fest in die Datenbank eingetragen und der bestätigte Bestellstatus gesetzt. Bei Abbruch wird die Bestellung rückgängig gemacht und die Bestellnummer verworfen, so dass bei der nächsten Bestellung die Bestellnummer um eins erhöht wird. Sollte der Kunde das Bezahlfenster schließen, so bleibt die temporäre Bestellung erhalten, wobei die Bezahlung dann nicht erfolgt ist. Jede Rechnung muss von Ihnen nach einer erfolgreichen Bestellung und Bezahlung explizit bestätigt werden."
"sofortlastschrift","sofortlastschrift"
"Secure direct debit system.","Il sistema di addebito sicuro di Payment Network AG."
"Vorkasse by sofort","Vorkasse by sofort"
"Vorkasse","Pagamento anticipato"
"Automated money order system.","<b>Vorkasse by sofort</b><br />Sobald der Kunde diese Zahlungsart ausgewählt hat und auf Bestellen klickt, wird eine temporäre Bestellung angelegt und der temporäre Bestellstatus gesetzt. Ist die Zahlung erfolgreich, wird die Bestellung fest in die Datenbank eingetragen und der bestätigte Bestellstatus gesetzt. Bei Abbruch wird die Bestellung rückgängig gemacht und die Bestellnummer verworfen, so dass bei der nächsten Bestellung die Bestellnummer um eins erhöht wird. Sollte der Kunde das Bezahlfenster schließen, so bleibt die temporäre Bestellung erhalten, wobei die Bezahlung dann nicht erfolgt ist."
"Lastschrift by sofort","Lastschrift by sofort"
"Lastschrift","Prelievo bancario (addebito)"
"Lastschriftverfahren","Addebito diretto automatico di Payment Network AG."
"sofortueberweisung and other sofort-products","sofortbanking e altri prodotti di sofort"
"More","maggiori informazioni"
"Error while saving this configuration: ","Errore durante il salvataggio: "
"Item was successfully saved","salvato con successo"
"Your benefit:","I vostri vantaggi:"
"Certified payment method","<ul><li>Zahlungssystem mit TÜV-geprüftem Datenschutz</li><li>Keine Registrierung notwendig</li><li>Ware/Dienstleistung wird bei Verfügbarkeit SOFORT versendet</li><li>Bitte halten Sie Ihre Online-Banking-Daten (PIN/TAN) bereit</li></ul>"
"Certified payment method, direct debit","<ul><li>Zahlungssystem mit TÜV-geprüftem Datenschutz</li><li>Keine Registrierung notwendig</li><li>Ware/Dienstleistung kann SOFORT versendet werden</li><li>Bitte halten Sie Ihre Online-Banking-PIN bereit</li></ul>"
"Help","Aiuto"
"Learn More","maggiori informazioni"
"Sort order","Ordine di visualizzazione"
"New order status","Stato dell'ordine confermato"
"Enabled","modulo attivato"
"Title","Bezeichnung"
"Payment from applicable countries","Selezionare i paesi"
"Payment from Specific countries","Selezionare i paesi"
"Money received.","Zahlungseingang." 
"Customer returned payment","Per questa transazione vi è un addebito respinto.  "
"Please pay to the following account","Bitte benutzen Sie folgende Überweisungdaten"
"Reason","Causale"
"Reason 2","Causale 2"
"Please confirm our privacy policy.","Bitte die Datenschutzhinweise akzeptieren."
