"Account number","Numer konta"
"Bank code","Numer rozliczeniowy banku"
"Holder","Właściciel konta"
"Amount","Kwota"
"Transaction Id: %s","ID transakcji: %s"
"Order No.: ","Nume. "
"Payment was successful.","Zamówienie z sofortbanking zostało pomyślnie przesłane. Państwa numer ID: %s"
"Payment successfull. Invoice needs to be confirmed.", "Zamówienie z Kauf auf Rechnung zostało pomyślnie przekazane : potwierdzenia sprzedawcy jeszcze nie odnotowano. Państwa ID transakcji: %s"
"Payment was not successfull","Wystąpił błąd podczas zamówienia."
"Sofortueberweisung payment loaded.","sofortbanking wybrany jako metoda płatnicza. Transakcja nie została zakończona."
"Vorkasse by sofort payment loaded.","Zapłata z góry wybrana jako metoda płatnicza. Transakcja nie została zakończona."
"sofortlastschrift payment loaded.","sofortlastschrift wybrany jako metoda płatnicza. Transakcja nie została zakończona."
"Lastschrift by sofort payment loaded.","Polecenie obciążenia konta jako metoda płatnicza wybrane. Transakcja nie jest zakończona."
"Rechnung by sofort payment loaded.","Kauf auf Rechnung wybrany jako metoda płatnicza. Transakcja nie jest zakończona."
"Please fill out the account holder","Prosimy o uzupełnienie numeru konta, numeru rozliczeniowego banku lub właściciela konta."
"Please fill out the account number","Prosimy o uzupełnienie numeru konta, numeru rozliczeniowego banku lub właściciela konta."
"Please fill out the bank code","Prosimy o uzupełnienie numeru konta, numeru rozliczeniowego banku lub właściciela konta."
"Cancelation of payment","Wybrana metoda płatnicza nie jest niestety możliwa lub została przerwana na życzenie klienta. Prosimy o wybranie innej metody płatniczej."
"Project password","Hasło projektu"
"Notification password", "Hasło powiadomień"
"Create Invoice","Wygeneruj fakturę po zapłacie."
"Projekt Id","Numer projektu"
"User Id","Numer klienta"
"Sofortueberweisung","sofortbanking"
"customer protection","sofortbanking z ochroną kupującgo"
"Direct payment method of Payment Network AG.","sofortbanking jest bezpłatną, sprawdzoną przez TÜV usługą płatności firmy Payment Network AG."
"Rechnung by sofort","Rechnung by sofort"
"Rechnung","Kauf auf Rechnung"
"Invoice with payment guarantee.","Kauf auf Rechnung z gwarancją płatności"
"sofortlastschrift","sofortlastschrift"
"Secure direct debit system.","Bezpieczny proces polecenia obciążenia konta Payment Network AG."
"Vorkasse by sofort","Vorkasse by sofort"
"Vorkasse","Płatność z góry"
"Automated money order system.","Vorkasse z automatyzowanym dopasowaniem płatności."
"Lastschrift by sofort","Lastschrift by sofort"
"Lastschrift","Pobranie z konta (polecenie obciążenia konta)"
"Lastschriftverfahren","Zautomatyzowany proces polecenia obciążenia konta Payment Network AG."
"sofortueberweisung and other sofort-products","sofortbanking i inne produkty sofort"
"More","więcej informacji"
"Error while saving this configuration: ","Błąd podczas zapisywania.: "
"Item was successfully saved","pomyślnie zapisany"
"Your benefit:","Państwa korzyści:"
"Certified payment method","<ul><li>System płatniczy ze sprawdzoną przez TÜV ochroną danych</li><li>Rejestracja nie jest konieczna</li><li>Towar/usługa zostanie NATYCHMIAST wysłana</li><li>Prosimy o przygotowanie danych bankowości internetowej(PIN/TAN)</li></ul>"
"Certified payment method, direct debit","<ul><li>System płatniczy ze sprawdzoną przez TÜV ochroną danych</li><li>Rejestracja nie jest konieczna</li><li>Towar/usługa zostanie natychmiast wysłana</li><li>Prosimy o przygotowanie PINu bankowości internetowej</li></ul>"
"Help","Pomoc"
"Learn More","więcej informacji"
"Sort order","Kolejność wyświetlania"
"New order status","Potwierdzony status zamówienia"
"Enabled","Moduł aktywowany"
"Title","Bezeichnung"
"Payment from applicable countries","Ogranicz kraje"
"Payment from Specific countries","Ogranicz kraje"
"Money received.","Nadejście płatności" 
"Customer returned payment","Ta transakcja oznaczona jest obciążeniem zwrotnym.  "
"Please pay to the following account","Prosimy o użycie następujących danych przelewu."
"Reason","Tytuł przelewu"
"Reason 2","Tytuł przelewu 2"
"Please confirm our privacy policy.","Prosimy o zaakceptowanie polityki prywatności."
"The invoice has been canceled.","Faktura została cofnięta. Zapis na koncie został przeprowadzony."
"Configuration key","Klucz konfiguracyjny"
"Successfully confirmed invoice: %s","%s"
"Successfully canceled invoice: %s","Faktura została cofnięta. %s"
"Successfully canceled invoice. Credit memo created: %s","Faktura została cofnięta. Zapis na koncie został przeprowadzony. %s"
"Banner or text","Baner lub tekst przy wyborze opcji płatniczej"
"All products deactivated due to errors, initiation aborted.", ""
"Must not be empty.", "Dane są niepełne lub błędne. Prosimy o poprawienie ich lub o kontakt ze sprzedawcą."
"Not in list of valid values.", "Nicht im Bereich gültiger Werte."
"Must be a positive number.", "Wert muss positiv sein."
"Unsupported currency.", "Obecnie obsługujemy jedynie zamówienia w Euro. Prosimy o poprawienie ich lub o ponowienie próby."
"Amount is out of range.", "Kwota jest zbyt wysoka lub niska. Prosimy o jej poprawienie lub o kontakt ze sprzedawcą."
"Invalid characters.", "Unbekannte Zeichen."
"Maximum length of 27 characters exceeded.", "Maximale Anzahl an Zeichen überschritten (max. 27)."
"Invalid email address.", "Zamówienie nie może zostać przeprowadzone z powodu nieprawidłowego adresu e-mail.Prosimy o jego poprawienie i o ponowienie próby."
"Invalid phone number.", "Zamówienie nie może zostać przeprowadzone z powodu nieprawidłowego numeru telefonu. Prosimy o jego poprawienie i o ponowienie próby."
"Invalid country code.", "Die Länderkennung wird nicht unterstützt, bitte wenden Sie sich an Ihren Shopbetreiber."
"Unsupported country code.", "Die angegebene BIC ist nicht gültig."
"Invalid BIC.", "Zamówienie nie może zostać przeprowadzone z powodu nieprawidłowego kodu BIC (Bank Identifier Code). Prosimy o jego poprawienie i o ponowienie próby."
"Only German addresses (DE) are supported.", "Zamówienie nie może zostać przeprowadzone z powodu nieprawidłowego kodu kraju . Adres wysyłki/ faktury musi znajdować się w Niemczech. Prosimy o jego poprawienie i o ponowienie próby."
"Product only supports German sender accounts.", "Obsługujemy jedynie konta niemieckie. Prosimy o poprawienie błędu lub wybranie innej metody płatniczej."
"Invoice amount exceeds amount limit in factoring contract.", "Kwota jest zbyt wysoka. Prosimy o poprawienie jej i o ponowienie próby."
"Invoice amount is lower than minimum amount defined in project settings.", "Kwota jest zbyt niska. Prosimy o poprawienie jej i o ponowienie próby."
"Invalid tax, allowed values are: 7, 19.", "Wert für Mehrwertsteuer fehlerhaft. Gültige Werte: 7,19."
"Validation of given bank account and bank code failed.", "Die Validierung des Bankkontos und der Bankleitzahl ist fehlgeschlagen."
"Maximum length of 255 characters exceeded.", "Die maximale Anzahl von 255 Zeichen wurde überschritten."
"Invalid items found.", "Zapytanie zawiera niewłaściwe pozycje koszyka. Prosimy o poprawienie ich lub o kontakt ze sprzedawcą."
"Payment not possible with this service.", "Prosimy o podanie przynajmniej właściciela konta i o ponowienie próby."
"Transaction with same data already created.", "Eine Transaktion mit den von Ihnen übermittelten Daten existiert bereits."
"This service is currently only accessible by non-commercial customers.", "Kauf auf Rechnung steht momentan nur Privatkunden zur Verfügung."
"Version Number","Versionsnummer"
"https://images.sofort.com/de/su/landing.php","https://images.sofort.com/pl/su/landing.php"
"https://images.sofort.com/de/su/banner_150x200.png","https://images.sofort.com/pl/su/banner_150x200.png"
"https://images.sofort.com/de/sl/logo_155x50.png","https://images.sofort.com/pl/sl/logo_155x50.png"
"https://images.sofort.com/de/sl/banner_300x100.png","https://images.sofort.com/pl/sl/banner_300x100.png"
"https://images.sofort.com/de/su/logo_155x50.png","https://images.sofort.com/pl/su/logo_155x50.png"
"https://images.sofort.com/de/su/banner_400x100_ks.png","https://images.sofort.com/pl/su/banner_400x100_ks.png"
"https://images.sofort.com/de/su/banner_300x100.png","https://images.sofort.com/pl/su/banner_300x100.png"
